species,stage,growthRate,growthUnit,growthMass,growthMassUnit,growthMassDryWet,growthTempKelvin,growthDataPosition,growthDataOBS,metabolicRate,metabolicUnit,metabolicMass,metabolicMassUnit,metabolicMassDryWet,metabolicTempKelvin,metabolicDataPosition,metabolicDataOBS,reference,,,
Centropomus parallelus,juvenile,0.065,g_d,8.64,g,wet,298.15,table 3; p 36,,136,mgO2_d,8.64,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.093,g_d,10.71,g,wet,298.15,table 3; p 36,,148,mgO2_d,10.71,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.065,g_d,11.31,g,wet,298.15,table 3; p 36,,154,mgO2_d,11.31,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.062,g_d,9.99,g,wet,298.15,table 3; p 36,,146,mgO2_d,9.99,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.065,g_d,9.74,g,wet,298.15,table 3; p 36,,144,mgO2_d,9.74,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.079,g_d,9.07,g,wet,298.15,table 3; p 36,,138,mgO2_d,9.07,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.084,g_d,11.17,g,wet,298.15,table 3; p 36,,152,mgO2_d,11.17,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.104,g_d,12.17,g,wet,298.15,table 3; p 36,,158,mgO2_d,12.17,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Perca fluviatilis,juvenile,0.064825065,g_d,13.7,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(13.70, 12.00, 28 + 1, 1)",61.42,mgO2_d,13.7,g,wet,287.15,table 2; p 708,mgO2_d calculated as 5.81*1000*0.296/28 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,0.094601899,g_d,13.2,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(13.20, 10.80, 28 + 1, 1)",80.97714,mgO2_d,13.2,g,wet,287.15,table 2; p 708,mgO2_d calculated as 7.66*1000*0.296/28 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,-0.027978706,g_d,18.75,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(18.75, 19.55, 28 + 1, 1)",44.92857,mgO2_d,18.75,g,wet,287.15,table 2; p 708,mgO2_d calculated as 4.25*1000*0.296/28 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,-0.006723649,g_d,10.26,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(10.26, 10.45, 28 + 1, 1)",41.33429,mgO2_d,10.26,g,wet,287.15,table 2; p 708,mgO2_d calculated as 3.91*1000*0.296/28 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,0.017565085,g_d,13.65,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(13.65, 13.15, 29 + 1, 1)",51.03448,mgO2_d,13.65,g,wet,287.15,table 2; p 708,mgO2_d calculated as 5.00*1000*0.296/29 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,-0.059083516,g_d,7.35,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(7.35, 9.43, 31 + 1, 1)",34.37419,mgO2_d,7.35,g,wet,287.15,table 2; p 708,mgO2_d calculated as 3.60*1000*0.296/31 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,-0.036589805,g_d,7.29,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(7.29, 8.39, 28 + 1, 1)",27.48571,mgO2_d,7.29,g,wet,287.15,table 2; p 708,mgO2_d calculated as 2.60*1000*0.296/28 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,0.015899595,g_d,18.95,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(18.95, 18.51, 28 + 1, 1)",53.70286,mgO2_d,18.95,g,wet,287.15,table 2; p 708,mgO2_d calculated as 5.08*1000*0.296/28 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,-0.022454675,g_d,11.3,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(11.30, 12.58, 54 + 1, 1)",39.41185,mgO2_d,11.3,g,wet,287.15,table 2; p 708,mgO2_d calculated as 7.19*1000*0.296/54 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Perca fluviatilis,juvenile,-0.016074082,g_d,6.7,g,wet,287.15,table 2; p 708,"growth calculated as instantaneousGrowth(6.70, 7.20, 30 + 1, 1)",37.49333,mgO2_d,6.7,g,wet,287.15,table 2; p 708,mgO2_d calculated as 3.80*1000*0.296/30 assuming 1 cal = 0.296mgO2,solomon_dj_1972_j41_699,,,
Salmo gairdneri,juvenile,0.009362837,g_d,4.02,g,wet,284.15,table 3; p 32,"small size class, feeding group 2; growth calculated as instantaneousGrowth(4.02,3.62,46,1)",1.263501,mgO2_h,4.02,g,wet,284.15,fig 5; p 37,metabolic rates calculated as 0.8717286*4.9*0.2958 assuming 4.9cal/cc and 0.2958mgO2/cal,staples_dj_1976_j9_29,,,
Salmo gairdneri,juvenile,2.566976321,g_d,297,g,wet,284.15,table 3; p 32,"medium size class, feeding group 3; growth calculated as instantaneousGrowth(297,201.3,46,1)",37.14188,mgO2_h,297,g,wet,284.15,fig 5; p 37,metabolic rates calculated as 25.62534 *4.9*0.2958 assuming 4.9cal/cc and 0.2958mgO2/cal,staples_dj_1976_j9_29,,,
Salmo gairdneri,adult,17.43827413,g_d,1982,g,wet,284.15,table 3; p 32,"large size class, feeding group 5; growth calculated as instantaneousGrowth(1982,1334,46,1)",209.4222,mgO2_h,1982,g,wet,284.15,fig 5; p 37,metabolic rates calculated as 144.4869 *4.9*0.2958 assuming 4.9cal/cc and 0.2958mgO2/cal,staples_dj_1976_j9_29,,,
Esox lucius,juvenile,153.01337,mg_d,3792,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(3792,3232,3.96 +  1, 1)",38.86316,umolO2_h,3792,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Esox lucius,juvenile,81.41793,mg_d,3069,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(3069,2936,1.67 +  1, 1)",30.675,umolO2_h,3069,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Esox lucius,juvenile,198.05994,mg_d,3810,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(3810,3617,1.00 +  1, 1)",42.45833,umolO2_h,3810,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Esox lucius,juvenile,99.73202,mg_d,2370,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(2370,2241,1.33 +  1, 1)",29.40625,umolO2_h,2370,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Esox lucius,juvenile,179.58239,mg_d,3294,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(3294,3077,1.25 +  1, 1)",36.9,umolO2_h,3294,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,84.19681,mg_d,2185,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(2185,1870,4.04 +  1, 1)",19.43299,umolO2_h,2185,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,85.93644,mg_d,2276,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(2276,1954,4.04 +  1, 1)",20.49485,umolO2_h,2276,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,80.39281,mg_d,2856,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(2856,2549,4.04 +  1, 1)",28.86598,umolO2_h,2856,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,81.99767,mg_d,3261,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(3261,2946,4.04 +  1, 1)",31.04124,umolO2_h,3261,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,85.12332,mg_d,2856,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(2856,2532,4.04 +  1, 1)",29.74227,umolO2_h,2856,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,118.35409,mg_d,3186,mg,wet,293.15,table 1; p 502,"D_type; growth calculated as instantaneousGrowth(3186,2742,4.04 +  1, 1)",29.7732,umolO2_h,3186,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,142.69664,mg_d,2854,mg,wet,293.15,table 1; p 502,"L_type; growth calculated as instantaneousGrowth(2854,2332,4.04 +  1, 1)",31.61856,umolO2_h,2854,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,203.48703,mg_d,3601,mg,wet,293.15,table 1; p 502,"L_type; growth calculated as instantaneousGrowth(3601,2866,4.04 +  1, 1)",36.28866,umolO2_h,3601,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,214.57973,mg_d,5409,mg,wet,293.15,table 1; p 502,"L_type; growth calculated as instantaneousGrowth(5409,4608,4.04 +  1, 1)",61.85567,umolO2_h,5409,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Perca fluviatilis,juvenile,146.97953,mg_d,4591,mg,wet,293.15,table 1; p 502,"L_type; growth calculated as instantaneousGrowth(4591,4034,4.04 +  1, 1)",51.83505,umolO2_h,4591,mg,wet,293.15,table 1; p 502,rates converted from total to consumption per hour,weiser_w_1991_o87_500,,,
Coregonus Schinzi,larvae,13.5604,mg_d,167,mg,wet,286.65,abstract; p 333,,0.1169,mgO2_h,167,mg,wet,286.65,fig 1c; p 336,"rates eyeballed from figure (0.7 mgO2/g/h), during the first couple of hours; converted to absolute by multiplying weight",dabrowski_k_1984_a41_333,,,
Solea solea,larvae,15.3320573,ug_d,77.5169,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(77.5169,51.9,2.0283,1e-10); 51.9ug is initial average mass provided on introduction",100.3439,nlO2_h,77.5169,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,larvae,0.7466643,ug_d,78.2856,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(78.2856,77.5169,3.0629,2.0283)",72.781,nlO2_h,78.2856,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,larvae,8.6173469,ug_d,86.1256,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(86.1256,78.2856,4.0168,3.0629)",107.1233,nlO2_h,86.1256,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,larvae,11.7572248,ug_d,108.0644,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(108.0644,86.1256,6.1025,4.0168)",179.5428,nlO2_h,108.0644,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,larvae,36.7494235,ug_d,167.6322,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(167.6322,108.0644,8.1052,6.1025)",218.7351,nlO2_h,167.6322,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,larvae,54.3854186,ug_d,217.9007,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(217.9007,167.6322,9.156,8.1052)",348.3725,nlO2_h,217.9007,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,larvae,63.474301,ug_d,514.7283,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(514.7283,217.9007,16.1267,9.156)",677.1037,nlO2_h,514.7283,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,juvenile,398.8677998,ug_d,2187.914,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(2187.914,514.7283,24.0643,16.1267)",2214.2431,nlO2_h,2187.914,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Solea solea,juvenile,894.4448339,ug_d,7720.871,ug,dry,288.15,fig 1; p 833,"growth calculated as instantaneousGrowth(7720.871,2187.914,34.9491,24.0643)",11043.217,nlO2_h,7720.871,ug,dry,288.15,fig 3; p 836,,day_oj_1996_a_27_831,,,
Hippoglossus hippoglossus,larvae,11.05111,ug_d,167.2564,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(167.2564, 137.9529, 6.655   , 3.7398 )",12.5231,nmolO2_h,167.2564,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,12.90374,ug_d,214.5225,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(214.5225, 167.2564, 10.7927 , 6.655  )",14.0339,nmolO2_h,214.5225,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,17.08085,ug_d,263.9005,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(263.9005, 214.5225, 13.9933 , 10.7927)",15.9958,nmolO2_h,263.9005,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,10.4627,ug_d,299.9767,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(299.9767, 263.9005, 17.667  , 13.9933)",16.0695,nmolO2_h,299.9767,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,25.46926,ug_d,369.3721,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(369.3721, 299.9767, 20.685  , 17.667 )",19.9116,nmolO2_h,369.3721,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,23.84564,ug_d,456.7088,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(456.7088, 369.3721, 24.75   , 20.685 )",28.1711,nmolO2_h,456.7088,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,33.16799,ug_d,552.8444,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(552.8444, 456.7088, 27.9341 , 24.75  )",39.7576,nmolO2_h,552.8444,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Hippoglossus hippoglossus,larvae,42.99544,ug_d,738.2637,ug,dry,279.65,fig 5; p 652,"growth calculated as instantaneousGrowth(738.2637, 552.8444, 32.9003 , 27.9341)",52.9883,nmolO2_h,738.2637,ug,dry,279.65,fig 1; p 650,,finn_rn_1995_c111_647,,,
Alburnus alburnus,larvae,0.0456,mg_d,0.6,mg,dry,293.15,table 7; p 40,high_feeding_rates,0.8,j_d,0.6,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Alburnus alburnus,larvae,0.142,mg_d,2,mg,dry,293.15,table 7; p 40,high_feeding_rates,2.2,j_d,2,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Alburnus alburnus,larvae,0.52,mg_d,8,mg,dry,293.15,table 7; p 40,high_feeding_rates,7.3,j_d,8,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Alburnus alburnus,larvae,2.75,mg_d,50,mg,dry,293.15,table 7; p 40,high_feeding_rates,35.9,j_d,50,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Abramis barellus,larvae,0.228,mg_d,2,mg,dry,293.15,table 7; p 40,high_feeding_rates,2.8,j_d,2,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Abramis barellus,larvae,0.76,mg_d,8,mg,dry,293.15,table 7; p 40,high_feeding_rates,10.1,j_d,8,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Abramis barellus,larvae,3,mg_d,50,mg,dry,293.15,table 7; p 40,high_feeding_rates,54.7,j_d,50,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Abramis barellus,larvae,4.2,mg_d,100,mg,dry,293.15,table 7; p 40,high_feeding_rates,103.6,j_d,100,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Rutilus rutilus,larvae,0.0666,mg_d,0.6,mg,dry,293.15,table 7; p 40,high_feeding_rates,0.8,j_d,0.6,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Rutilus rutilus,larvae,0.2,mg_d,2,mg,dry,293.15,table 7; p 40,high_feeding_rates,2.3,j_d,2,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Rutilus rutilus,larvae,0.672,mg_d,8,mg,dry,293.15,table 7; p 40,high_feeding_rates,8.5,j_d,8,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Rutilus rutilus,larvae,2.85,mg_d,50,mg,dry,293.15,table 7; p 40,high_feeding_rates,46.5,j_d,50,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Rutilus rutilus,larvae,4.2,mg_d,100,mg,dry,293.15,table 7; p 40,high_feeding_rates,88.6,j_d,100,mg,dry,293.15,table 7; p 40,high_feeding_rates,hubert_k_1992_e33_33,,,
Sillago japonica,larvae,0.008328787,mg_d,0.03444901,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",0.41315,ulO2_h,0.03444901,mg,dry,298.15,fig 1; p 208,average consumption for individuals 09 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.010606736,mg_d,0.04387092,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",0.56342,ulO2_h,0.04387092,mg,dry,298.15,fig 1; p 208,average consumption for individuals 10 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.021906941,mg_d,0.09061013,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",1.03762,ulO2_h,0.09061013,mg,dry,298.15,fig 1; p 208,average consumption for individuals 13 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.057621127,mg_d,0.23832893,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",1.85025,ulO2_h,0.23832893,mg,dry,298.15,fig 1; p 208,average consumption for individuals 17 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.151559005,mg_d,0.62686895,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",6.65355,ulO2_h,0.62686895,mg,dry,298.15,fig 1; p 208,average consumption for individuals 21 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.507670286,mg_d,2.09979432,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",17.6336,ulO2_h,2.09979432,mg,dry,298.15,fig 1; p 208,average consumption for individuals 26 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.646519674,mg_d,2.67409454,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",16.24124,ulO2_h,2.67409454,mg,dry,298.15,fig 1; p 208,average consumption for individuals 27 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Sillago japonica,larvae,0.823344797,mg_d,3.40546764,mg,dry,298.15,model fig 2 oozeki 1992; p 60,"estimated using formula for dry mass (mg) based on age, obtained from oozeki_y_1992_j39_59 - see database-c-oozeki_y_1994_j41_207_fig1.R",18.56973,ulO2_h,3.40546764,mg,dry,298.15,fig 1; p 208,average consumption for individuals 28 days old - see database-c-oozeki_y_1994_j41_207_fig1.R,oozeki_y_1994_j41_207,,,
Rachycentron canadum,juvenile,3.156,mg_d,8.67,mg,dry,300.55,table 1; p 229,assumed 5 cal/mg as indicated on paper,0.062644496,mgO2_h,8.67,mg,dry,300.55,table 1; p 229,"removed 19% of SDA from rates; converted to hourly rates, used 3.4cal/mgO2",watson_am_2010_j41_224,,,
Rachycentron canadum,juvenile,4.556,mg_d,15.32,mg,dry,300.55,table 1; p 229,assumed 5 cal/mg as indicated on paper,0.100883888,mgO2_h,15.32,mg,dry,300.55,table 1; p 229,"removed 19% of SDA from rates; converted to hourly rates, used 3.4cal/mgO3",watson_am_2010_j41_224,,,
Rachycentron canadum,juvenile,6.292,mg_d,24.79,mg,dry,300.55,table 1; p 229,assumed 5 cal/mg as indicated on paper,0.151231239,mgO2_h,24.79,mg,dry,300.55,table 1; p 229,"removed 19% of SDA from rates; converted to hourly rates, used 3.4cal/mgO4",watson_am_2010_j41_224,,,
Rachycentron canadum,juvenile,8.26,mg_d,37.6,mg,dry,300.55,table 1; p 229,assumed 5 cal/mg as indicated on paper,0.246912489,mgO2_h,37.6,mg,dry,300.55,table 1; p 229,"removed 19% of SDA from rates; converted to hourly rates, used 3.4cal/mgO5",watson_am_2010_j41_224,,,
Rachycentron canadum,juvenile,10.506,mg_d,54.31,mg,dry,300.55,table 1; p 229,assumed 5 cal/mg as indicated on paper,0.291087619,mgO2_h,54.31,mg,dry,300.55,table 1; p 229,"removed 19% of SDA from rates; converted to hourly rates, used 3.4cal/mgO6",watson_am_2010_j41_224,,,
Rachycentron canadum,juvenile,13.034,mg_d,75.45,mg,dry,300.55,table 1; p 229,assumed 5 cal/mg as indicated on paper,0.349522708,mgO2_h,75.45,mg,dry,300.55,table 1; p 229,"removed 19% of SDA from rates; converted to hourly rates, used 3.4cal/mgO7",watson_am_2010_j41_224,,,
Scophthalmus maximus,juvenile,0.1345569,g_d,17.6552,g,wet,283.15,fig 1; p 151,"growth calculated for periods 13-26Mar as instantaneousGrowth(17.6552 , 15.9335 , 145.1957, 131.7327)",1.694583,mgO2_h,17.6552,g,wet,283.15,fig 5a; p 155,averaged rates transformed to absolute; only used those for the last three growth measurement periods as expressed in fig5,imsland_ak_1995_n34_149,,,
Scophthalmus maximus,juvenile,0.220322,g_d,20.5979,g,wet,283.15,fig 1; p 151,"growth calculated for periods 27Mar-9Apr as instantaneousGrowth(20.5979 , 17.6552 , 159.608 , 145.1957)",2.34916,mgO2_h,20.5979,g,wet,283.15,fig 5c; p 155,averaged rates transformed to absolute; only used those for the last three growth measurement periods as expressed in fig5,imsland_ak_1995_n34_149,,,
Scophthalmus maximus,juvenile,0.300968,g_d,24.2716,g,wet,283.15,fig 1; p 151,"growth calculated for periods 10Mar-23Apr as instantaneousGrowth(24.2716 , 20.5979 , 172.8433, 159.608 )",2.577326,mgO2_h,24.2716,g,wet,283.15,fig 5e; p 155,averaged rates transformed to absolute; only used those for the last three growth measurement periods as expressed in fig5,imsland_ak_1995_n34_149,,,
Scophthalmus maximus,juvenile,1.3225335,g_d,87.9298,g,wet,289.15,fig 1; p 151,"growth calculated for periods 13-26Mar as instantaneousGrowth(87.9298 , 71.8115 , 145.1957, 131.7327)",14.809559,mgO2_h,87.9298,g,wet,289.15,fig 5b; p 155,averaged rates transformed to absolute; only used those for the last three growth measurement periods as expressed in fig5,imsland_ak_1995_n34_149,,,
Scophthalmus maximus,juvenile,1.1954342,g_d,103.8049,g,wet,289.15,fig 1; p 151,"growth calculated for periods 27Mar-9Apr as instantaneousGrowth(103.8049, 87.9298 , 159.608 , 145.1957)",17.045304,mgO2_h,103.8049,g,wet,289.15,fig 5d; p 155,averaged rates transformed to absolute; only used those for the last three growth measurement periods as expressed in fig5,imsland_ak_1995_n34_149,,,
Scophthalmus maximus,juvenile,1.7154018,g_d,124.5598,g,wet,289.15,fig 1; p 151,"growth calculated for periods 10Mar-23Apr as instantaneousGrowth(124.5598, 103.8049, 172.8433, 159.608 )",16.432415,mgO2_h,124.5598,g,wet,289.15,fig 5f; p 155,averaged rates transformed to absolute; only used those for the last three growth measurement periods as expressed in fig5,imsland_ak_1995_n34_149,,,
Labeo rohita,juvenile,0.2271899,g_d,15.3,g,wet,299.14,table 3; p 382,"growth calculated as instantaneousGrowth(15.3 , 9.8   ,31, 1)",0.887706,mgO2_h,15.3,g,wet,299.14,table 2; p 381,,das_t_2005_j30_378,,,
Labeo rohita,juvenile,0.3755629,g_d,18.84,g,wet,304.15,table 3; p 382,"growth calculated as instantaneousGrowth(18.84, 10.36 ,31, 1)",1.244194,mgO2_h,18.84,g,wet,304.15,table 2; p 381,,das_t_2005_j30_378,,,
Labeo rohita,juvenile,0.3196388,g_d,17.38,g,wet,306.15,table 3; p 382,"growth calculated as instantaneousGrowth(17.38, 10.01 ,31, 1)",1.325746,mgO2_h,17.38,g,wet,306.15,table 2; p 381,,das_t_2005_j30_378,,,
Labeo rohita,juvenile,0.1714214,g_d,14.31,g,wet,309.15,table 3; p 382,"growth calculated as instantaneousGrowth(14.31, 9.99  ,31, 1)",1.334694,mgO2_h,14.31,g,wet,309.15,table 2; p 381,,das_t_2005_j30_378,,,
Scophthalmus maximus,juvenile,1.544728,g_d,172.8498,g,wet,290.15,fig 2a; p 107,"assumed that O2 measurements were done between days 30-32 as with nitrate measurements; growth calculated as instantaneousGrowth(172.8498, 151.1648, 30, 15)",1192.018,umolO2_h,172.8498,g,wet,290.15,fig 3a; p 109,,pichavant_k_2000_a188_103,,,
