"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
120,"TL",0.16,-0.3,NA,NA,26,NA,3.36,"USA","South Florida","No","No","Mycteroperca bonaci","Serranidae","annuli on many otoliths"
131,"TL",0.169,NA,NA,NA,23,NA,3.46,"USA","Florida waters","No","No","Mycteroperca bonaci","Serranidae","&nbsp"
131,"",0.116,NA,NA,NA,NA,NA,3.3,"","","No","No","Mycteroperca bonaci","Serranidae","&nbsp"
65,"",0.057,-4.1,NA,NA,NA,NA,2.38,"","","No","No","Mycteroperca interstitialis","Serranidae","&nbsp"
75.5,"FL",0.14,-1.42,NA,NA,NA,NA,2.9,"USA","southeastern coast","No","No","Mycteroperca interstitialis","Serranidae","annuli on many otoliths"
80,"FL",0.08,-7.5,NA,NA,NA,NA,2.71,"USA","Gulf of Mexico","No","No","Mycteroperca interstitialis","Serranidae","&nbsp"
85.4,"TL",0.057,-4.6,NA,NA,27.2,NA,2.62,"Trinidad Tobago","","No","No","Mycteroperca interstitialis","Serranidae","annuli on many otoliths"
101,"SL",0.156,-1.41,NA,0.34,21,NA,3.2,"USA","Florida (west coast)","No","No","Mycteroperca microlepis","Serranidae","annuli on many otoliths"
109,"",0.188,-1.33,NA,NA,NA,NA,3.35,"","","No","No","Mycteroperca microlepis","Serranidae","&nbsp"
119,"TL",0.166,-0.62,NA,NA,26,NA,3.37,"USA","Eastern Gulf of Mexico","No","No","Mycteroperca microlepis","Serranidae","&nbsp"
124,"TL",0.124,NA,NA,0.34,25,NA,3.28,"USA","Tampa Bay, Florida","No","No","Mycteroperca microlepis","Serranidae","annuli on many otoliths"
129,"TL",0.122,-1.13,NA,0.34,24,NA,3.31,"USA","North and South Carolina","No","No","Mycteroperca microlepis","Serranidae","annuli on many otoliths"
130,"TL",0.155,NA,NA,0.34,21,NA,3.42,"USA","Panama City, Florida","No","No","Mycteroperca microlepis","Serranidae","length-frequencies"
93,"TL",0.181,0.13,NA,NA,22,67,3.19,"Galapagos Is.","","No","No","Mycteroperca olfax","Serranidae","annuli on many otoliths"
110,"TL",0.11,-1.7,NA,NA,NA,65.3,3.12,"","Santa Cruz, Santiago, Isabela, and Wolf Islands","Yes","No","Mycteroperca olfax","Serranidae","annuli on many otoliths"
56,"SL",0.166,-1.49,NA,NA,26,NA,2.72,"USA","Florida (west coast)","No","No","Mycteroperca phenax","Serranidae","annuli on many otoliths"
99,"FL",0.092,-2.45,NA,NA,24,NA,2.96,"USA","North and South Carolina","No","No","Mycteroperca phenax","Serranidae","annuli on many otoliths"
108,"TL",0.092,-0.24,NA,NA,NA,NA,3.03,"Mexico","Espíritu Santo and Cerralvo Is., Gulf of California","No","No","Mycteroperca rosacea","Serranidae","annuli on many otoliths"
56.7,"SL",0.329,0.26,NA,NA,NA,NA,3.02,NA,"Levantine Sea","No","No","Mycteroperca rubra","Serranidae","&nbsp"
74,"TL",0.11,-1.88,NA,NA,27.2,NA,2.78,"Cuba","Southwest Zone","No","No","Mycteroperca tigris","Serranidae","annuli on many otoliths"
86,"TL",0.17,NA,NA,0.42,27,NA,3.1,"Jamaica","reefs","No","No","Mycteroperca venenosa","Serranidae","annuli on many otoliths"
89.5,"TL",0.086,NA,NA,NA,28,NA,2.84,"Virgin Is. (US)","St. John","No","No","Mycteroperca venenosa","Serranidae","tagging/recapture"
95.8,"FL",0.11,-2.97,NA,NA,NA,NA,3,"USA","Southeastern waters (North Carolina - Florida Keys)","No","No","Mycteroperca venenosa","Serranidae","annuli on many otoliths"
10,"TL",0.42,-0.23,NA,NA,10,NA,1.62,"Japan","29-31°N 149-154°E","No","No","Myctophum nitidulum","Myctophidae","&nbsp"
9,"TL",0.32,-0.91,NA,0.73,15,5,1.41,"Mauritania","North West African, upwelling Area","No","No","Myctophum punctatum","Myctophidae","&nbsp"
10.5,"TL",0.166,-1.64,NA,NA,NA,NA,1.26,"Italy","Messina Strait","No","No","Myctophum punctatum","Myctophidae","&nbsp"
38,"SL",0.44,NA,NA,NA,NA,NA,2.8,"French Guiana",NA,"No","No","Myleus rhomboidalis","Serrasalmidae","&nbsp"
100,"WD",0.229,-1.58,"M",NA,18,NA,3.36,"USA","Elkorn Slough (121°47'W, 36°48'N), California","No","No","Myliobatis californica","Myliobatidae","other annual rings"
159,"WD",0.1,-2.06,"F",NA,18,NA,3.4,"USA","Elkorn Slough (121°47'W, 36°48'N), California","No","No","Myliobatis californica","Myliobatidae","other annual rings"
19.6,"TL",0.671,NA,NA,1.45,26,16,2.41,"Malawi","Lake Malawi (southern)","No","No","Mylochromis anaphyrmus","Cichlidae","length-frequencies"
96.1,"SL",0.13,NA,"",NA,NA,NA,3.08,"Russia","Amur River","No","No","Mylopharyngodon piceus","Cyprinidae","scale annual rings"
151,"TL",0.085,NA,"",NA,NA,NA,3.29,"Russia","Amur River","No","No","Mylopharyngodon piceus","Cyprinidae","&nbsp"
198.1,"SL",0.086,-0.34,"M",NA,NA,NA,3.53,"China","China, Changjiang river.","No","No","Mylopharyngodon piceus","Cyprinidae","&nbsp"
220.4,"SL",0.079,-0.3,"F",NA,NA,NA,3.58,"China","China, Changjiang river.","No","No","Mylopharyngodon piceus","Cyprinidae","&nbsp"
30.4,"TL",0.626,0.32,"M",NA,15,NA,2.76,"Russia","Peter the Great Bay, 1992; 1994-98","Yes","No","Myoxocephalus brandtii","Cottidae","annuli on many otoliths"
33.9,"TL",0.492,0.07,"F",NA,15,NA,2.75,"Russia","Peter the Great Bay, 1992; 1994-98","Yes","No","Myoxocephalus brandtii","Cottidae","annuli on many otoliths"
38.5,"TL",0.34,-0.19,"M",NA,NA,NA,2.7,"Russia","Peter the Great Bay","Yes","No","Myoxocephalus jaok","Cottidae","annuli on many otoliths"
60.1,"TL",0.15,-0.88,"F",NA,NA,NA,2.73,"Russia","Peter the Great Bay","No","No","Myoxocephalus jaok","Cottidae","annuli on many otoliths"
61,"TL",0.16,-0.47,"M",NA,NA,NA,2.77,"Russia","West Kamchatka","No","No","Myoxocephalus jaok","Cottidae","annuli on many otoliths"
120,"TL",0.07,-0.82,"F",NA,NA,NA,3,"Russia","West Kamchatka","No","No","Myoxocephalus jaok","Cottidae","annuli on many otoliths"
30,"TL",0.72,NA,NA,NA,15,NA,2.81,"USA","New England","No","No","Myoxocephalus octodecemspinosus","Cottidae","&nbsp"
60.7,"TL",0.21,0.89,"M",NA,NA,NA,2.89,"Russia","Kamchatka","Yes","No","Myoxocephalus polyacanthocephalus","Cottidae","annuli on many otoliths"
72.5,"TL",0.12,-0.69,"M",NA,NA,NA,2.8,"Russia","West Kamchatka","No","No","Myoxocephalus polyacanthocephalus","Cottidae","annuli on many otoliths"
97,"TL",0.14,1.71,"F",NA,NA,NA,3.12,"Russia","Kamchatka","Yes","No","Myoxocephalus polyacanthocephalus","Cottidae","&nbsp"
109.2,"TL",0.08,-0.27,"F",NA,NA,NA,2.98,"Russia","West Kamchatka","No","No","Myoxocephalus polyacanthocephalus","Cottidae","annuli on many otoliths"
23.9,"TL",0.45,NA,NA,NA,NA,NA,2.41,"Russia","Onezhsky Bay, White Sea","Yes","No","Myoxocephalus quadricornis","Cottidae","annuli on many otoliths"
33.1,"TL",0.24,0.63,NA,NA,NA,NA,2.42,"Russia","Kara Sea","Yes","No","Myoxocephalus quadricornis","Cottidae","annuli on many otoliths"
62.2,"TL",0.16,-0.8,NA,NA,NA,NA,2.79,"","Europe (not specified)","Yes","No","Myoxocephalus quadricornis","Cottidae","others"
18.4,"TL",0.555,-1.93,"M",NA,NA,NA,2.28,"Denmark","Limfjorden","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
19.6,"TL",0.758,NA,"M",NA,8,NA,2.46,"Germany","Kiel Bight, Baltic","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
21.3,"TL",0.329,-3.29,"M",NA,NA,NA,2.18,"Denmark","Koge Bugt","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
21.9,"TL",0.534,-1.06,"M",NA,NA,NA,2.41,"Denmark","Sonderborg Bugt","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
24.4,"TL",0.338,-1.64,"F",NA,NA,NA,2.3,"Denmark","Limfjorden","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
25.5,"TL",0.428,-1.29,"F",NA,NA,NA,2.44,"Denmark","Koge Bugt","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
26.7,"TL",0.539,-0.57,"F",NA,12,NA,2.58,"Germany","Helgoland, North Sea","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
27.3,"TL",0.363,-1.05,"F",NA,NA,NA,2.43,"Denmark","Sonderborg Bugt","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
32.3,"TL",0.358,NA,"F",NA,8,NA,2.57,"Germany","Kiel Bight, Baltic","No","No","Myoxocephalus scorpius","Cottidae","&nbsp"
36.9,"TL",0.39,NA,"M",NA,NA,NA,2.73,"Russia","Piltun Bay","No","No","Myoxocephalus stelleri","Cottidae","annuli on many otoliths"
37.3,"TL",0.44,0.3,"M",NA,NA,NA,2.79,"Russia","Peter the Great Bay","Yes","No","Myoxocephalus stelleri","Cottidae","annuli on many otoliths"
51.2,"TL",0.26,0.22,"F",NA,NA,NA,2.83,"Russia","Peter the Great Bay","No","No","Myoxocephalus stelleri","Cottidae","annuli on many otoliths"
60.4,"TL",0.17,NA,"F",NA,NA,NA,2.79,"Russia","Piltun Bay","No","No","Myoxocephalus stelleri","Cottidae","annuli on many otoliths"
19.4,"SL",0.219,-0.66,NA,NA,NA,NA,1.92,"Hawaii","Johnston Atoll","No","No","Myripristis amaena","Holocentridae","annuli on many otoliths"
26.2,"TL",0.68,NA,NA,NA,27,NA,2.67,"India","Lakshadweep lagoons","No","No","Myripristis murdjan","Holocentridae","length-frequencies"
16,NA,0.9,NA,NA,NA,26,NA,2.36,"Bangladesh","Dikshi beel, Pabna District","No","No","Mystus tengara","Bagridae","length-frequencies"
16,NA,0.9,NA,NA,NA,26,NA,2.36,"Bangladesh","Ashura beel, Dinajpur District","No","No","Mystus tengara","Bagridae","length-frequencies"
16,NA,1,NA,NA,NA,26,NA,2.41,"Bangladesh","Medi beel, Netrokona District","No","No","Mystus tengara","Bagridae","length-frequencies"
28,"FL",0.82,NA,"M",NA,18,NA,2.81,"Australia","St Georges Basin (35° 08' S; 150° 36' E) estuary, NSW","No","No","Myxus elongatus","Mugilidae","annuli on many otoliths"
30,"FL",0.77,NA,"M",NA,20,NA,2.84,"Australia","Lake Macquarie (33° 06' S; 151° 36' E) estuary, NSW","No","No","Myxus elongatus","Mugilidae","annuli on many otoliths"
34.4,"FL",0.52,NA,"F",NA,18,NA,2.79,"Australia","St Georges Basin (35° 08' S; 150° 36' E) estuary, NSW","No","No","Myxus elongatus","Mugilidae","annuli on many otoliths"
36.9,"FL",0.6,NA,"F",NA,20,NA,2.91,"Australia","Lake Macquarie (33° 06' S; 151° 36' E) estuary, NSW","No","No","Myxus elongatus","Mugilidae","annuli on many otoliths"
21,NA,0.7,NA,NA,NA,26,NA,2.49,"Bangladesh","Shapla beel, B.Baria District","No","No","Nandus nandus","Nandidae","length-frequencies"
7.1,"TL",1.69,-0.08,"M",NA,20,NA,1.93,"Australia","south-western region acidic pools","No","No","Nannatherina balstoni","Percichthyidae","annuli on many otoliths"
8.3,"TL",1.31,-0.1,"F",NA,20,NA,1.96,"Australia","south-western region acidic pools","No","No","Nannatherina balstoni","Percichthyidae","annuli on many otoliths"
26.5,"SL",0.201,-0.13,NA,NA,NA,NA,2.15,"USA","off southern California","No","No","Nannobrachium regale","Myctophidae","annuli on many otoliths"
13.5,"SL",0.36,NA,NA,NA,NA,NA,1.82,"USA","off southern California","No","No","Nannobrachium ritteri","Myctophidae","annuli on many otoliths"
5.5,"TL",1.178,-0.21,"M",NA,11.5,NA,1.55,"Australia","Collie River","No","No","Nannoperca vittata","Percichthyidae","annuli on many otoliths"
5.8,"TL",1.124,-0.2,"F",NA,11.5,4.3,1.58,"Australia","Collie River","No","No","Nannoperca vittata","Percichthyidae","annuli on many otoliths"
62.6,"SL",0.213,-0.19,NA,NA,26,NA,2.92,"Australia","Great Barrier Reef","No","No","Naso annulatus","Acanthuridae","annuli on many otoliths"
43.4,"SL",0.429,NA,NA,NA,26,NA,2.91,"Australia","Great Barrier Reef","No","No","Naso brachycentron","Acanthuridae","annuli on many otoliths"
30.4,"SL",0.402,-0.21,NA,NA,26,NA,2.57,"Australia","Great Barrier Reef","No","No","Naso brevirostris","Acanthuridae","annuli on many otoliths"
52.7,"SL",0.221,-0.22,NA,NA,26,NA,2.79,"Australia","Great Barrier Reef","No","No","Naso hexacanthus","Acanthuridae","annuli on many otoliths"
21.1,"SL",0.755,NA,NA,NA,NA,NA,2.53,"Australia","northern Great Barrier Reef","No","No","Naso lituratus","Acanthuridae","annuli on many otoliths"
35.1,"FL",0.35,NA,NA,NA,28,NA,2.63,"Palau","","No","No","Naso lituratus","Acanthuridae","length-frequencies"
45.9,"SL",0.428,-0.13,NA,NA,26,NA,2.96,"Australia","Great Barrier Reef","No","No","Naso tuberosus","Acanthuridae","annuli on many otoliths"
38.6,"SL",0.489,-0.14,NA,NA,NA,NA,2.86,"Australia","Great Barrier Reef","No","No","Naso unicornis","Acanthuridae","&nbsp"
57,"FL",0.14,NA,NA,NA,28,NA,2.66,"Palau","","No","No","Naso unicornis","Acanthuridae","length-frequencies"
37.9,"SL",0.264,-0.26,NA,NA,26,NA,2.58,"Australia","Great Barrier Reef","No","No","Naso vlamingii","Acanthuridae","annuli on many otoliths"
28,"FL",5.4,NA,"",NA,NA,NA,3.63,"Spain","Mallorca Island (W. Mediterranean)","Yes","No","Naucrates ductor","Carangidae","annuli on many otoliths"
29,"FL",6.872,0.06,"",NA,19,NA,3.76,"Spain","Mallorca Island (W. Mediterranean)","Yes","No","Naucrates ductor","Carangidae","annuli on many otoliths"
41.2,"TL",2.57,-0.13,"M",NA,NA,NA,3.64,"Greece","Messinian coasts","No","No","Naucrates ductor","Carangidae","annuli on many otoliths"
43.5,"TL",2.15,-0.16,"F",NA,NA,NA,3.61,"Greece","Messinian coasts","No","No","Naucrates ductor","Carangidae","annuli on many otoliths"
80,"",0.1,NA,NA,NA,NA,NA,2.81,"USA","","Yes","No","Negaprion brevirostris","Carcharhinidae","&nbsp"
250,"TL",0.54,NA,NA,0.81,26,NA,4.53,"USA","(M: for Bimini, Bahamas)","Yes","No","Negaprion brevirostris","Carcharhinidae","other annual rings"
88.5,"TL",0.16,-0.57,NA,NA,NA,35,3.1,"Australia","New South Wales","No","No","Nelusetta ayraud","Monacanthidae","annuli on many otoliths"
5,"SL",0.511,NA,NA,NA,29,NA,1.11,"Malaysia","Kejin River, Sarawak","No","No","Nemacheilus spiniferus","Nemacheilidae","length-frequencies"
7.1,"FL",0.493,NA,NA,NA,23.5,NA,1.4,"India","Southern India (8°20'N, 77°15'E, 400 m altitude)","No","No","Nemacheilus triangularis","Nemacheilidae","&nbsp"
39.9,"FL",0.26,-0.49,"",0.15,14,30,2.62,"New Zealand","North-eastern waters","No","No","Nemadactylus macropterus","Cheilodactylidae","annuli on many otoliths"
42.1,"FL",0.208,NA,"M",NA,11,30,2.57,"New Zealand","Eastern South Island","No","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
44.6,"FL",0.201,NA,"F",NA,11,30,2.6,"New Zealand","Eastern South Island","No","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
44.6,"FL",0.22,NA,"F",0.1,14,30,2.64,"New Zealand","Chatham Islands","Yes","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
44.7,"FL",0.167,NA,"M",0.1,14,30,2.52,"New Zealand","Chatham Islands","Yes","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
45.5,"FL",0.167,-2.51,"M",NA,12,NA,2.54,"Australia","Eden","No","No","Nemadactylus macropterus","Cheilodactylidae","annuli on many otoliths"
45.5,"",0.17,NA,"M",NA,12,NA,2.55,"Australia","","No","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
47.7,"TL",0.279,NA,"",0.08,14,NA,2.8,"New Zealand","","Yes","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
51,"FL",0.125,-3.17,"F",NA,12,NA,2.51,"Australia","Eden","No","No","Nemadactylus macropterus","Cheilodactylidae","annuli on many otoliths"
51.3,"",0.13,NA,"F",NA,12,NA,2.53,"Australia","","No","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
56.3,"TL",0.1,-4.3,"",0.15,12,NA,2.5,"New Zealand","","Yes","No","Nemadactylus macropterus","Cheilodactylidae","&nbsp"
9.3,"SL",0.406,NA,NA,NA,29,NA,1.54,"Malaysia","Lawa River, Sarawak","No","No","Nematabramis everetti","Cyprinidae","length-frequencies"
10.3,"SL",0.721,NA,NA,NA,29,NA,1.88,"Malaysia","Lawa River, Sarawak","No","No","Nematabramis everetti","Cyprinidae","length-frequencies"
10.9,"SL",0.603,NA,NA,NA,29,NA,1.86,"Malaysia","Bulu River, Sarawak","No","No","Nematabramis everetti","Cyprinidae","length-frequencies"
11.2,"SL",0.728,NA,NA,NA,29,NA,1.96,"Malaysia","Kaha River, Sarawak","No","No","Nematabramis everetti","Cyprinidae","length-frequencies"
39.2,"FL",0.9,NA,NA,NA,27,NA,3.14,"Sri Lanka","North west coast","No","No","Nematalosa nasus","Clupeidae","length-frequencies"
38.1,"TL",0.17,NA,NA,NA,12.5,NA,2.39,"Australia","Swan Estuary, South-western coast","No","No","Nematalosa vlaminghi","Clupeidae","scale annual rings"
100,"TL",0.3,NA,NA,0.4,4,NA,3.48,"USA","California current","No","No","Nemichthys scolopaceus","Nemichthyidae","annuli on many otoliths"
23.8,"TL",0.46,NA,NA,NA,29,NA,2.42,"Malaysia","Peninsular east coast","No","No","Nemipterus balinensoides","Nemipteridae","length-frequencies"
20.3,"TL",0.4,NA,"",NA,27,NA,2.22,"","Nansha Is.(4°-9°N, 105°45'-112°15'E, 50-150 m)","No","No","Nemipterus bathybius","Nemipteridae","&nbsp"
23.1,"FL",0.161,-4.41,"F",NA,12,NA,1.93,"Japan","Kagoshima Bay","Yes","No","Nemipterus bathybius","Nemipteridae","annuli on many otoliths"
24.6,"FL",0.57,NA,"",NA,22,NA,2.54,"Philippines","Burias Pass","No","No","Nemipterus bathybius","Nemipteridae","length-frequencies"
27.5,"FL",0.34,-0.76,"M",NA,12,NA,2.41,"Japan","Kagoshima Bay","No","No","Nemipterus bathybius","Nemipteridae","annuli on many otoliths"
28,"FL",0.4,NA,"",NA,28.7,NA,2.5,"Philippines","Visayas","No","No","Nemipterus bathybius","Nemipteridae","length-frequencies"
29.4,"TL",0.41,NA,"",NA,29,NA,2.55,"Malaysia","Peninsular east coast","No","No","Nemipterus bathybius","Nemipteridae","length-frequencies"
30.2,"TL",0.324,-0.8,"M",NA,27,NA,2.47,"Hong Kong","(50 m depth)","No","No","Nemipterus bathybius","Nemipteridae","&nbsp"
32,"TL",0.8,NA,"",NA,29,NA,2.91,"Malaysia","Sabah, 1998","Yes","No","Nemipterus bathybius","Nemipteridae","length-frequencies"
33.5,"TL",0.82,NA,"",NA,NA,NA,2.96,"Malaysia","Sarawak","Yes","No","Nemipterus bathybius","Nemipteridae","length-frequencies"
25,"TL",0.4,NA,NA,NA,27.2,NA,2.4,"Tanzania","Bawe Changuu and Murogo reefs, Zanzibar","No","No","Nemipterus bipunctatus","Nemipteridae","length-frequencies"
26.4,"TL",0.42,NA,NA,NA,27,NA,2.47,"","Nansha Is.(4°-9°N, 105°45'-112°15'E, 50-150 m)","No","No","Nemipterus bipunctatus","Nemipteridae","&nbsp"
28.9,"TL",0.703,NA,NA,1.62,28,NA,2.77,"Malaysia","Sarawak and Sabah (30-40 m depth)","No","No","Nemipterus bipunctatus","Nemipteridae","&nbsp"
30,"TL",0.8,NA,NA,NA,27.9,NA,2.86,"Malaysia","Peninsular west coast","No","No","Nemipterus bipunctatus","Nemipteridae","length-frequencies"
31,"TL",0.437,NA,NA,1.12,28,NA,2.62,"Malaysia","Sarawak and Sabah (30-40 m depth)","No","No","Nemipterus bipunctatus","Nemipteridae","&nbsp"
31,"TL",0.75,NA,NA,NA,29,NA,2.86,"Malaysia","Sabah","No","No","Nemipterus bipunctatus","Nemipteridae","length-frequencies"
25.5,"TL",0.42,NA,NA,NA,27.7,NA,2.44,"Philippines","Visayan Sea","No","No","Nemipterus furcosus","Nemipteridae","length-frequencies"
26.7,"NG",0.45,NA,NA,NA,27,NA,2.51,"Australia","Northwest coast","No","No","Nemipterus furcosus","Nemipteridae","&nbsp"
41.9,"FL",0.25,NA,NA,NA,27,NA,2.64,"Australia","Northwest shelf","No","No","Nemipterus furcosus","Nemipteridae","&nbsp"
24.5,"TL",0.6,NA,NA,NA,28,NA,2.56,"Indonesia","Java Sea (Central and East Java)","No","No","Nemipterus hexodon","Nemipteridae","length-frequencies"
25.5,"NG",0.476,NA,NA,NA,28.5,NA,2.49,"Philippines","Maqueda Bay","No","No","Nemipterus hexodon","Nemipteridae","length-frequencies"
25.5,"NG",0.477,NA,NA,1.78,28.2,NA,2.49,"Philippines","Manila Bay for growth; entire Philippines for M","No","No","Nemipterus hexodon","Nemipteridae","length-frequencies"
25.5,"NG",0.476,NA,NA,NA,28.5,NA,2.49,"Philippines","Guimaras Strait","No","No","Nemipterus hexodon","Nemipteridae","length-frequencies"
27.8,"TL",0.511,NA,NA,0.88,28,NA,2.6,"Malaysia","Sarawak and Sabah (30-40 m depth)","No","No","Nemipterus hexodon","Nemipteridae","&nbsp"
28,"TL",0.75,NA,NA,1.76,28,NA,2.77,"Brunei Darsm","","Yes","No","Nemipterus hexodon","Nemipteridae","length-frequencies"
20.9,"TL",0.648,NA,"",NA,27.5,NA,2.45,"India","Andhra-Orissa","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
21,"NG",0.95,NA,"",NA,28.4,NA,2.62,"Philippines","Leyte Gulf","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
23.5,"TL",0.7,NA,"",NA,28,NA,2.59,"Indonesia","Java Sea (Central Java)","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
23.5,"FL",0.73,NA,"",NA,28.5,NA,2.61,"Philippines","Carigara Bay","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
24.2,"FL",1.06,NA,"",NA,27.6,NA,2.79,"Bangladesh","Bay of Bengal","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
24.5,"TL",0.94,NA,"",NA,28,NA,2.75,"Bangladesh","Bay of Bengal","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
25.6,"FL",0.94,NA,"",NA,28,NA,2.79,"Bangladesh","Bay of Bengal","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
26.5,"FL",0.6,NA,"",NA,28.5,NA,2.62,"Philippines","Samar Sea","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
26.5,"TL",0.595,0.03,"F",NA,26,14,2.62,"Kuwait","","No","No","Nemipterus japonicus","Nemipteridae","annuli on many otoliths"
26.5,"Le",0.6,NA,"",NA,28,NA,2.62,"Bangladesh","Bay of Bengal","No","No","Nemipterus japonicus","Nemipteridae","&nbsp"
26.5,"TL",0.77,NA,"F",NA,27,NA,2.73,"India","off Cochin","No","No","Nemipterus japonicus","Nemipteridae","&nbsp"
26.6,"FL",0.45,NA,"",NA,28.5,NA,2.5,"Philippines","Samar Sea","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
27.1,"FL",0.85,NA,"",NA,28.7,NA,2.8,"Philippines","Samar Sea","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
28.5,"TL",0.65,NA,"",1.68,28,14,2.72,"Brunei Darsm","","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
28.8,"NG",0.46,NA,"",NA,27,NA,2.58,"Pakistan","Northern Arabian Sea","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
29.1,"FL",0.31,0.05,"",NA,29,NA,2.42,"Yemen","Gulf of Aden","No","No","Nemipterus japonicus","Nemipteridae","other annual rings"
29.3,"TL",0.84,NA,"",NA,28,NA,2.86,"Philippines","Leyte Gulf","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
29.4,"NG",0.81,NA,"",NA,28.5,NA,2.85,"Philippines","Guimaras Strait","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
29.4,"NG",0.811,NA,"",NA,28.5,NA,2.85,"Philippines","Maqueda Bay","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
29.5,"TL",0.458,NA,"",1.88,28,NA,2.6,"Malaysia","Sarawak and Sabah (30-40 m depth)","No","No","Nemipterus japonicus","Nemipteridae","&nbsp"
29.8,"TL",0.821,NA,"",NA,27.9,NA,2.86,"India","Maharashtra and Gujarat","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30,"TL",0.7,NA,"",NA,28.2,NA,2.8,"Philippines","Manila Bay","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30,"NG",0.583,NA,"",NA,28.4,NA,2.72,"Philippines","Leyte Gulf","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30.3,"TL",0.47,NA,"",NA,22.6,NA,2.63,"India","Kerala","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30.3,"TL",0.542,0.19,"M",NA,26,14,2.7,"Kuwait","","Yes","No","Nemipterus japonicus","Nemipteridae","annuli on many otoliths"
30.5,"TL",0.314,-1.11,"",0.52,27.5,16.5,2.47,"India","Andhra-Orissa Coast","No","No","Nemipterus japonicus","Nemipteridae","&nbsp"
30.5,"TL",1.004,NA,"",2.52,27.6,14.5,2.97,"India","Madras","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30.5,"TL",0.52,NA,"",NA,28,NA,2.68,"India","Visakhapatnam","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30.5,"TL",0.62,NA,"",NA,28,NA,2.76,"India","Madras","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
30.7,"TL",0.294,NA,"",NA,27.5,NA,2.44,"India","Andhra-Orissa Coast","No","No","Nemipterus japonicus","Nemipteridae","&nbsp"
31.4,"TL",0.55,NA,"",NA,29,NA,2.73,"Malaysia","Kuala Kedah","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
31.4,"NG",0.751,NA,"",1.14,27.2,12.5,2.87,"India","Kakinada","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
31.5,"TL",0.51,NA,"",NA,28,NA,2.7,"India","Kakinada","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
31.8,"TL",0.69,NA,"M",NA,27,NA,2.84,"India","off Cochin","No","No","Nemipterus japonicus","Nemipteridae","&nbsp"
32,"TL",0.56,NA,"",NA,27,NA,2.76,"India","Bombay","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
32,"TL",0.6,NA,"",NA,27,NA,2.79,"India","Veraval, Gujarat","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
32.3,"TL",0.43,NA,"",NA,27,NA,2.65,"India","Mangalore","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
32.3,"TL",0.7,NA,"",NA,27,NA,2.86,"India","Cochin, Kerala","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
32.6,"TL",0.51,NA,"",NA,22.6,NA,2.73,"India","Kerala","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
33.5,"TL",0.4,NA,"",NA,28,NA,2.65,"India","Visakhapatnam","No","No","Nemipterus japonicus","Nemipteridae","length-frequencies"
